Date,Age_Group,Product_Category,Order_Quantity,Unit_Price,Revenue
1/31/2021,Adults (35-64),Bikes,30,"$1,120.00 ","$33,600.00 "
2/28/2021,Young Adults (25-34),Bikes,20,"$3,578.00 ","$71,560.00 "
3/31/2021,Youth (<25),Bikes,10,"$2,443.00 ","$24,430.00 "
4/30/2021,Youth (<25),Bikes,10,"$2,295.00 ","$22,950.00 "
5/31/2021,Adults (35-64),Bikes,11,$540.00 ,"$5,940.00 "
6/30/2021,Adults (35-64),Bikes,14,"$1,120.00 ","$15,680.00 "
7/31/2021,Adults (35-64),Bikes,30,"$2,443.00 ","$73,290.00 "
8/31/2021,Young Adults (25-34),Bikes,14,"$1,120.00 ","$15,680.00 "
9/30/2021,Adults (35-64),Bikes,12,"$1,120.00 ","$13,440.00 "
10/31/2021,Young Adults (25-34),Bikes,40,"$2,295.00 ","$91,800.00 "
11/30/2021,Adults (35-64),Bikes,47,"$3,578.00 ","$168,166.00 "
12/31/2021,Adults (35-64),Bikes,32,$540.00 ,"$17,280.00 "
1/31/2022,Adults (35-64),Bikes,28,$540.00 ,"$15,120.00 "
